scheme_code,nav_value,date
143704,14.6651,2022-12-19
143704,14.6525,2022-12-20
143704,14.6574,2022-12-21
143704,14.6623,2022-12-22
143704,14.6182,2022-12-23
143704,14.6231,2022-12-26
143704,14.6343,2022-12-27
143704,14.6354,2022-12-28
143704,14.6483,2022-12-29
143704,14.6257,2022-12-30
143704,14.7567,2023-01-12
143704,14.7849,2023-01-13
143704,14.7796,2023-01-16
143704,14.8282,2023-01-19
143704,14.7861,2023-01-20
143704,14.7844,2023-01-23
143704,14.7831,2023-01-24
143704,14.7743,2023-01-25
143704,14.7129,2023-01-27
143704,14.7007,2023-01-30
143704,14.7222,2023-01-31
143704,14.7681,2023-02-01
143704,14.8159,2023-02-02
143704,14.8268,2023-02-03
143704,14.8376,2023-02-06
143704,14.854,2023-02-07
143704,14.8121,2023-02-08
143704,14.7931,2023-02-09
143704,14.8031,2023-02-10
143704,14.8,2023-02-13
143704,14.8026,2023-02-14
143704,14.8148,2023-02-15
143704,14.8241,2023-02-16
143704,14.8424,2023-02-17
143704,14.8644,2023-02-20
143704,14.8579,2023-02-21
143704,14.8313,2023-02-22
143704,14.8495,2023-02-23
143704,14.8361,2023-02-24
143704,14.8054,2023-02-27
143704,14.8108,2023-02-28
143704,14.8236,2023-03-01
143704,14.8167,2023-03-02
143704,14.7998,2023-03-03
143704,14.8187,2023-03-06
143704,14.7535,2023-03-08
143704,14.7635,2023-03-09
143704,14.7828,2023-03-10
143704,14.8414,2023-03-13
143704,14.9038,2023-03-14
143704,14.8964,2023-03-15
143704,14.8987,2023-03-16
143704,14.9022,2023-03-17
143704,14.9596,2023-03-20
143704,14.9341,2023-03-21
143704,14.9436,2023-03-23
143704,14.9366,2023-03-24
143704,14.9751,2023-03-27
143704,14.9847,2023-03-28
143704,14.9788,2023-03-29
143704,14.9641,2023-03-31
143704,14.973,2023-04-03
143704,15.032,2023-04-05
143704,15.0742,2023-04-06
143704,15.0645,2023-04-10
143704,15.0509,2023-04-11
143704,15.0476,2023-04-12
143704,15.0411,2023-04-13
143704,15.0533,2023-04-17
143704,15.0664,2023-04-18
143704,15.0577,2023-04-19
143704,15.0718,2023-04-20
143704,15.0998,2023-04-21
143704,15.1784,2023-04-24
143704,15.2226,2023-04-25
143704,15.2286,2023-04-26
