scheme_code,market_cap,yield_to_maturity,average_maturity,modified_duration,pe_ratio,portfolio_turnover_ratio,row_num
120261,"{'market_cap_large': 38.6464, 'market_cap_mid': 13.58, 'market_cap_others': 26.634, 'market_cap_small': 21.1396}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",42.5384,0.58,1
150266,"{'market_cap_large': 57.3775, 'market_cap_mid': 22.9758, 'market_cap_others': 5.7423, 'market_cap_small': 13.9044}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",63.0939,0.64,1
153047,"{'market_cap_large': 35.5528, 'market_cap_mid': 1.0132, 'market_cap_others': 63.434, 'market_cap_small': 0.0}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",32.2887,0.07,1
152470,"{'market_cap_large': 41.8787, 'market_cap_mid': 23.955, 'market_cap_others': 10.8386, 'market_cap_small': 23.3277}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",67.9643,0.65,1
118557,"{'market_cap_large': 64.1853, 'market_cap_mid': 6.8728, 'market_cap_others': 5.1543, 'market_cap_small': 23.7875}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",36.2813,0.222,1
119243,"{'market_cap_large': 33.7454, 'market_cap_mid': 20.2731, 'market_cap_others': 5.4678, 'market_cap_small': 40.5137}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",44.8307,0.1752,1
118474,"{'market_cap_large': 45.2332, 'market_cap_mid': 17.165, 'market_cap_others': 33.4527, 'market_cap_small': 4.1491}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",36.9431,14.38,1
120465,"{'market_cap_large': 83.0318, 'market_cap_mid': 4.6578, 'market_cap_others': 12.3104, 'market_cap_small': 0.0}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",39.0944,0.81,1
133859,"{'market_cap_large': 73.4221, 'market_cap_mid': 15.2072, 'market_cap_others': 3.8943, 'market_cap_small': 7.4765}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",25.8168,2.91,1
120592,"{'market_cap_large': 73.6948, 'market_cap_mid': 10.2064, 'market_cap_others': 4.9002, 'market_cap_small': 11.1985}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",38.7973,0.27,1
151458,"{'market_cap_large': 56.2922, 'market_cap_mid': 18.3075, 'market_cap_others': 7.7875, 'market_cap_small': 17.6127}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",41.331,0.5043,1
120494,"{'market_cap_large': 58.9098, 'market_cap_mid': 10.9618, 'market_cap_others': 5.31, 'market_cap_small': 24.8184}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",43.4349,1.0199,1
152509,"{'market_cap_large': 62.1757, 'market_cap_mid': 13.6246, 'market_cap_others': 19.382, 'market_cap_small': 4.8176}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",27.2384,3.88,1
120164,"{'market_cap_large': 5.29, 'market_cap_mid': 17.1974, 'market_cap_others': 6.4459, 'market_cap_small': 71.0668}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",52.5953,0.2402,1
152663,"{'market_cap_large': 96.5575, 'market_cap_mid': 3.4888, 'market_cap_others': -0.0463, 'market_cap_small': 0.0}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",41.3857,0.5655,1
120267,"{'market_cap_large': 81.7701, 'market_cap_mid': 4.5524, 'market_cap_others': 3.3416, 'market_cap_small': 10.3359}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",34.0466,0.87,1
152329,"{'market_cap_large': 98.7562, 'market_cap_mid': 1.1431, 'market_cap_others': 0.1007, 'market_cap_small': 0.0}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",30.2808,0.99,1
120575,"{'market_cap_large': 39.5235, 'market_cap_mid': 27.9946, 'market_cap_others': 3.6342, 'market_cap_small': 28.8477}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",63.3548,0.36,1
149803,"{'market_cap_large': 99.1991, 'market_cap_mid': 0.5886, 'market_cap_others': 0.2123, 'market_cap_small': 0.0}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",27.0039,0.14,1
135805,"{'market_cap_large': 48.4564, 'market_cap_mid': 13.7057, 'market_cap_others': 8.5373, 'market_cap_small': 29.3006}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",66.4539,0.4925,1
119659,"{'market_cap_large': 47.5086, 'market_cap_mid': 14.2443, 'market_cap_others': 2.146, 'market_cap_small': 36.101}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",34.9829,0.54,1
135677,"{'market_cap_large': 42.995, 'market_cap_mid': 38.6134, 'market_cap_others': 4.8257, 'market_cap_small': 13.5659}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",50.2495,0.71,1
150518,"{'market_cap_large': 68.4539, 'market_cap_mid': 29.3682, 'market_cap_others': -0.0449, 'market_cap_small': 2.2228}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",10.0683,0.63,1
118533,"{'market_cap_large': 13.1506, 'market_cap_mid': 64.2489, 'market_cap_others': 5.9258, 'market_cap_small': 16.6747}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",55.2692,0.2407,1
